ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
A_23_P74290	0.000152	6.34E-09	-2.37E+01	9.47129	-8.08	GBP5	guanylate binding protein 5
A_23_P103496	0.000152	7.40E-09	-2.32E+01	9.391627	-8.37	GBP4	guanylate binding protein 4
A_23_P121695	0.000686	5.02E-08	-1.84E+01	8.274161	-7	CXCL13	C-X-C motif chemokine ligand 13
A_23_P29773	0.000887	1.10E-07	-1.67E+01	7.749571	-6.41	LAMP3	lysosomal associated membrane protein 3
A_32_P78121	0.000887	1.60E-07	-1.59E+01	7.479673	-5.54		
A_24_P316965	0.000887	1.73E-07	-1.58E+01	7.424981	-8.46	RSAD2	radical S-adenosyl methionine domain containing 2
A_24_P256219	0.000887	2.02E-07	1.55E+01	7.312675	5.64	MAF	MAF bZIP transcription factor
A_23_P42353	0.000887	2.05E-07	-1.55E+01	7.302273	-6.39	ETV7	ETS variant 7
A_23_P7827	0.000887	2.35E-07	-1.52E+01	7.19906	-7.07	FAM26F	family with sequence similarity 26 member F
A_24_P280664	0.000887	2.48E-07	-1.51E+01	7.160697	-7.06	GBP7	guanylate binding protein 7
A_23_P128050	0.000887	2.52E-07	-1.51E+01	7.148232	-6.73	BCL2L14	BCL2 like 14
A_23_P201160	0.000887	2.60E-07	1.50E+01	7.125383	7.4	CD1E	CD1e molecule
A_32_P372878	0.000961	3.19E-07	-1.46E+01	6.969982	-5.97	SLCO5A1	solute carrier organic anion transporter family member 5A1
A_23_P35412	0.000961	4.03E-07	-1.42E+01	6.791645	-6.38	IFIT3	interferon induced protein with tetratricopeptide repeats 3
A_23_P165624	0.000961	4.14E-07	-1.42E+01	6.769401	-7.48	TNFAIP6	TNF alpha induced protein 6
A_23_P112026	0.000961	4.73E-07	-1.39E+01	6.666134	-6.03	IDO1	"indoleamine 2,3-dioxygenase 1"
A_23_P167328	0.000961	5.00E-07	-1.38E+01	6.622501	-7.54	CD38	CD38 molecule
A_24_P45446	0.000961	5.16E-07	-1.38E+01	6.597547	-7.24	GBP4	guanylate binding protein 4
A_24_P20607	0.000961	5.17E-07	-1.38E+01	6.595991	-5.27	CXCL11	C-X-C motif chemokine ligand 11
A_24_P23625	0.000961	5.20E-07	-1.38E+01	6.591554	-5.69		
A_23_P163079	0.000961	5.41E-07	-1.37E+01	6.559967	-7.04	GCH1	GTP cyclohydrolase 1
A_24_P935819	0.000961	5.49E-07	-1.37E+01	6.548674	-5.65	SOD2	"superoxide dismutase 2, mitochondrial"
A_24_P167642	0.000961	5.59E-07	-1.36E+01	6.534847	-5.01	GCH1	GTP cyclohydrolase 1
A_23_P59005	0.000961	5.63E-07	-1.36E+01	6.529468	-4.78	TAP1	"transporter 1, ATP binding cassette subfamily B member"
A_24_P12573	0.000978	5.96E-07	1.35E+01	6.48323	5.21	CCL26	C-C motif chemokine ligand 26
A_23_P62647	0.001113	7.31E-07	-1.32E+01	6.319737	-4.87	SLAMF1	signaling lymphocytic activation molecule family member 1
A_23_P125423	0.001113	7.56E-07	-1.31E+01	6.292646	-6.04	C1R	complement C1r subcomponent
A_23_P163306	0.001113	7.90E-07	-1.31E+01	6.257167	-5.39	CGNL1	cingulin like 1
A_24_P28722	0.001113	8.14E-07	-1.30E+01	6.233556	-8.11	RSAD2	radical S-adenosyl methionine domain containing 2
A_24_P77008	0.001113	8.26E-07	-1.30E+01	6.221469	-7.31	PTGS2	prostaglandin-endoperoxide synthase 2
A_23_P53417	0.001113	8.42E-07	-1.30E+01	6.205936	-4.47	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
A_23_P88347	0.001163	9.09E-07	-1.28E+01	6.142979	-6.26	FERMT2	fermitin family member 2
A_23_P134176	0.001163	9.36E-07	-1.28E+01	6.119028	-6.08	SOD2	"superoxide dismutase 2, mitochondrial"
A_23_P359277	0.001301	1.11E-06	-1.25E+01	5.976571	-6.36	ELOVL7	ELOVL fatty acid elongase 7
A_24_P32473	0.001301	1.13E-06	-1.25E+01	5.961351	-5.31	ELOVL7	ELOVL fatty acid elongase 7
A_24_P36898	0.001301	1.15E-06	-1.25E+01	5.951533	-4.36		
A_24_P78531	0.001301	1.20E-06	-1.24E+01	5.911215	-5.44	CLEC4E	C-type lectin domain family 4 member E
A_24_P7040	0.001301	1.21E-06	-1.24E+01	5.910015	-4.42		
A_23_P116942	0.001319	1.25E-06	-1.23E+01	5.87717	-4.96	LAG3	lymphocyte activating 3
A_23_P168847	0.001337	1.30E-06	1.23E+01	5.844504	4.31	FBXO16	F-box protein 16
A_23_P138680	0.001373	1.37E-06	-1.22E+01	5.801634	-4.56	IL15RA	interleukin 15 receptor subunit alpha
A_23_P132057	0.001394	1.45E-06	-1.21E+01	5.755945	-5.28	LINC00158	long intergenic non-protein coding RNA 158
A_32_P74409	0.001394	1.46E-06	-1.21E+01	5.749084	-6.89	C11orf96	chromosome 11 open reading frame 96
A_23_P87545	0.001485	1.59E-06	-1.20E+01	5.676449	-4.34	IFITM3	interferon induced transmembrane protein 3
A_24_P130363	0.001521	1.70E-06	1.19E+01	5.623208	4.24	LDLRAD4	low density lipoprotein receptor class A domain containing 4
A_23_P47955	0.001521	1.71E-06	-1.18E+01	5.614691	-4.35	OAS3	2'-5'-oligoadenylate synthetase 3
A_24_P343929	0.001521	1.77E-06	-1.18E+01	5.589006	-4.37	OAS2	2'-5'-oligoadenylate synthetase 2
A_24_P478940	0.001521	1.78E-06	-1.18E+01	5.582017	-6.3		
A_24_P296772	0.00155	1.86E-06	1.17E+01	5.545418	5.66	PPP1R14A	protein phosphatase 1 regulatory inhibitor subunit 14A
A_23_P35066	0.00155	1.89E-06	-1.17E+01	5.530966	-4.82	SNX7	sorting nexin 7
A_23_P386478	0.001595	1.98E-06	-1.16E+01	5.490105	-5.8	TNIP3	TNFAIP3 interacting protein 3
A_32_P115518	0.001605	2.04E-06	1.16E+01	5.467692	5.82		
A_32_P91773	0.001753	2.28E-06	-1.14E+01	5.371168	-5		
A_23_P17663	0.001753	2.31E-06	-1.14E+01	5.359708	-5.13	MX1	MX dynamin like GTPase 1
A_23_P121253	0.001768	2.41E-06	-1.13E+01	5.321142	-5.46	TNFSF10	tumor necrosis factor superfamily member 10
A_23_P206920	0.001768	2.44E-06	-1.13E+01	5.310545	-4.56	MYH11	myosin heavy chain 11
A_24_P561165	0.001768	2.51E-06	-1.13E+01	5.285742	-4.41		
A_23_P65518	0.001768	2.54E-06	1.13E+01	5.275996	6.58	DACT1	dishevelled binding antagonist of beta catenin 1
A_24_P335092	0.001768	2.54E-06	-1.13E+01	5.275437	-4.47	SAA1	serum amyloid A1
A_23_P45871	0.001802	2.64E-06	-1.12E+01	5.244698	-6.76	IFI44L	interferon induced protein 44 like
A_23_P81898	0.001853	2.85E-06	-1.11E+01	5.175431	-6.72	UBD	ubiquitin D
A_23_P384355	0.001853	2.86E-06	-1.11E+01	5.173875	-6.22		
A_24_P250922	0.001853	2.88E-06	-1.11E+01	5.168514	-6.56	PTGS2	prostaglandin-endoperoxide synthase 2
A_23_P55373	0.001853	2.89E-06	1.11E+01	5.164256	4.19	ALOX15	arachidonate 15-lipoxygenase
A_24_P353638	0.001948	3.09E-06	-1.10E+01	5.10671	-5.01	SLAMF7	SLAM family member 7
A_23_P62652	0.002018	3.27E-06	-1.09E+01	5.056102	-4.01	SLAMF1	signaling lymphocytic activation molecule family member 1
A_23_P318800	0.002018	3.30E-06	-1.09E+01	5.049189	-4.74	SSTR2	somatostatin receptor 2
A_32_P56249	0.002042	3.39E-06	-1.09E+01	5.025932	-4.51	USP30-AS1	USP30 antisense RNA 1
A_24_P79529	0.002101	3.54E-06	-1.08E+01	4.988076	-4.32		
A_23_P29953	0.002101	3.59E-06	-1.08E+01	4.975114	-3.89	IL15	interleukin 15
A_23_P152838	0.002118	3.71E-06	-1.07E+01	4.946523	-4.95	CCL5	C-C motif chemokine ligand 5
A_23_P819	0.002118	3.76E-06	-1.07E+01	4.934631	-5.2	ISG15	ISG15 ubiquitin-like modifier
