"","x"
"1","GBP5"
"2","GBP4"
"3","CXCL13"
"4","LAMP3"
"5","RSAD2"
"6","MAF"
"7","ETV7"
"8","FAM26F"
"9","GBP7"
"10","BCL2L14"
"11","SLCO5A1"
"12","IFIT3"
"13","IDO1"
"14","GCH1"
"15","TAP1"
"16","SLAMF1"
"17","C1R"
"18","CGNL1"
"19","PTGS2"
"20","FERMT2"
"21","ELOVL7"
"22","LAG3"
"23","IL15RA"
"24","LINC00158"
"25","C11orf96"
"26","LDLRAD4"
"27","OAS3"
"28","OAS2"
"29","SNX7"
"30","TNFSF10"
"31","SAA1"
"32","UBD"
"33","SSTR2"
"34","USP30-AS1"
"35","IL15"
"36","CCL5"
"37","ISG15"
"38","HAPLN3"
"39","IDO2"
"40","EDN1"
"41","GBP1"
"42","PDGFC"
"43","VEGFC"
"44","NINL"
"45","SNX10"
"46","FLRT2"
"47","ADAM19"
"48","ANKRD22"
"49","RAB29"
"50","STAT1"
"51","IFITM1"
"52","SRSF12"
"53","IL31RA"
"54","TNFAIP3"
"55","ADORA2A"
"56","ITGB8"
"57","PARP9"
"58","MAZ"
"59","APOL3"
"60","MYC"
"61","IL1R1"
"62","LOC285957"
"63","PLA1A"
"64","AASS"
"65","ADORA3"
"66","NFIA"
"67","PDE4B"
"68","CCR7"
"69","SERPINB9"
"70","LINC01093"
"71","IRF7"
"72","IFITM4P"
"73","PRAME"
"74","NAMPT"
"75","JAK3"
"76","RAB40B"
"77","EPSTI1"
"78","XAF1"
"79","SAA2"
"80","MYO10"
"81","GUCY1A3"
"82","LOC100129935"
"83","VAMP5"
"84","BHLHE22"
"85","OASL"
"86","SPAG8"
"87","MBP"
"88","RASAL1"
"89","HADH"
"90","PTGER4"
"91","GUCY1B3"
"92","CD36"
"93","AIM2"
"94","ISG20"
"95","PARP14"
"96","CD180"
"97","APOL1"
"98","ZC3H12A"
"99","SERPINB3"
"100","ANKH"
"101","LIMK2"
"102","CDC42EP2"
"103","DHX58"
"104","BRI3BP"
"105","RHEBL1"
"106","FAS"
"107","IFIH1"
"108","HLA-DOB"
"109","SH3PXD2A"
"110","PSME2"
"111","FAM177A1"
"112","SERPINB7"
"113","FAM117B"
"114","EXOC3L4"
"115","HESX1"
"116","RND3"
"117","IGFBP4"
"118","CARD9"
"119","DTX3L"
"120","IL2RA"
"121","COTL1"
"122","PNRC1"
"123","PPA1"
"124","RAPGEF2"
"125","NBN"
"126","TIAM2"
"127","DUSP5"
"128","KLHDC7B"
"129","WARS"
"130","NOD2"
"131","SYNPO2"
"132","SLC4A7"
"133","ELMO2"
"134","PRLR"
"135","TANC1"
"136","USP18"
"137","TXN"
"138","PDK3"
"139","DUSP8"
"140","ABTB2"
"141","CLEC4A"
"142","MPZL1"
"143","SSTR5"
"144","HERC6"
"145","STK17A"
"146","BATF2"
"147","GRAMD4"
"148","TGM1"
"149","RCN1"
"150","PANX1"
"151","PTGS1"
"152","MS4A6A"
"153","DDX60"
"154","KLF6"
"155","SOCS2"
"156","C1RL"
"157","STX11"
"158","SSR1"
"159","GBP2"
"160","PML"
"161","FCAMR"
"162","IFI35"
"163","MUC1"
"164","G0S2"
"165","SLC8A3"
"166","TGFBR2"
"167","EEPD1"
"168","CFLAR"
"169","TMEM54"
"170","CD274"
"171","NFKBIE"
"172","GFOD1"
"173","PPP3CC"
"174","GIMAP6"
"175","SLC31A2"
"176","PLXDC2"
"177","IER5L"
"178","GBP3"
"179","C1orf162"
"180","CSF3"
"181","IRF1"
"182","OSR2"
"183","CTNNBIP1"
"184","IL1R2"
"185","SAMD9L"
"186","IRF6"
"187","CYBRD1"
"188","GJA4"
"189","BRIP1"
"190","SOX5"
"191","GPD1L"
"192","TMEM171"
"193","BSPRY"
"194","SLC25A28"
"195","PLA2G12A"
"196","TM6SF1"
"197","BAIAP2"
"198","CD1A"
"199","ZHX3"
"200","RARRES3"
"201","DENND5A"
"202","ITGA1"
"203","MAP3K13"
"204","LGR4"
"205","TFPI2"
"206","RIPK2"
"207","PSME1"
"208","PLSCR4"
"209","CCL20"
"210","ARHGAP18"
"211","IL1RN"
"212","CCDC50"
"213","LAMA3"
"214","NAT8L"
"215","ANXA9"
"216","OAS1"
"217","NIM1K"
"218","PSMB9"
"219","LRRC1"
"220","WFDC2"
"221","FLI1"
"222","ASPHD2"
"223","DENND4C"
"224","APOL2"
"225","OSBPL9"
"226","OSBPL3"
"227","FAM198B"
"228","GAS2L3"
"229","DKFZP564C152"
"230","TRIM69"
"231","RUFY3"
"232","NT5DC2"
"233","GPR34"
"234","PPM1L"
"235","ICAM1"
"236","APOBEC3G"
"237","SERPINB4"
"238","MBNL3"
"239","TPCN1"
"240","NKX3-1"
"241","RNASE6"
"242","APOBEC3H"
"243","MTF1"
"244","KCNS3"
"245","CFH"
"246","TMEM170B"
"247","ZBED3"
"248","CUL1"
"249","SLC27A1"
"250","UBE2L6"
"251","ZNFX1"
"252","KLHL36"
"253","DAPP1"
"254","PDXK"
"255","LARP6"
"256","SLC43A1"
"257","PCM1"
"258","GFPT2"
"259","CTDSPL"
"260","SLC37A2"
"261","C15orf52"
"262","REPS2"
"263","DDX58"
"264","HHEX"
"265","APOBEC3B"
"266","APOBEC3A"
"267","TMEM120B"
"268","HLA-F"
"269","FAM105A"
"270","NTN1"
"271","ADK"
"272","DCANP1"
"273","DUSP1"
"274","IL27"
"275","CSF1R"
"276","PARP15"
"277","ZYG11B"
"278","ANXA3"
"279","LZTFL1"
"280","CCDC34"
"281","TDRD7"
"282","DNAJA1"
"283","HS2ST1"
"284","NNMT"
"285","TGFBI"
"286","PSTPIP2"
"287","BTG1"
"288","CFHR3"
"289","TRERF1"
"290","ARHGAP6"
"291","GAS5-AS1"
"292","GRAMD1B"
"293","HIPK2"
"294","RNF115"
"295","SNHG15"
"296","GNAQ"
"297","HLA-C"
"298","ATXN7L1"
"299","ARID5B"
"300","CSRNP1"
"301","SOCS3"
"302","TUFT1"
"303","GRAMD3"
"304","EZH2"
"305","CLU"
"306","SERINC5"
"307","C11orf45"
"308","TRAF1"
"309","ZNF219"
"310","DOPEY1"
"311","B4GAT1"
"312","MMS22L"
"313","PRKCA"
"314","TAP2"
"315","KIAA0930"
"316","ACPP"
"317","PPT1"
"318","BLVRA"
"319","CD80"
"320","CASP7"
"321","SLC6A12"
"322","MKL2"
"323","M1AP"
"324","UPB1"
"325","BAZ1A"
"326","NUB1"
"327","ZC3H6"
"328","ATF3"
"329","INSR"
"330","MN1"
"331","ARHGDIB"
"332","JAK2"
"333","B3GLCT"
"334","CD302"
"335","RHOH"
"336","SLPI"
"337","AHNAK"
"338","TCF3"
"339","CDKN2B"
"340","AHCY"
"341","XPNPEP3"
"342","SCARB1"
"343","EVI2A"
"344","MCEE"
"345","PSMA2"
"346","PIM3"
"347","CASP5"
"348","NEMP1"
"349","FBXO36"
"350","TRANK1"
"351","NCOR2"
"352","RXRA"
"353","HEATR9"
"354","SLC22A5"
"355","PCYOX1"
"356","KIAA0040"
"357","METTL7A"
"358","RNF166"
"359","ZMIZ1"
"360","KCNJ2"
"361","IQCH-AS1"
"362","CYP7B1"
"363","NAP1L1"
"364","FAM101B"
"365","LHPP"
"366","TNFSF13B"
"367","XRN1"
"368","H2AFY"
"369","SLC38A5"
"370","MCL1"
"371","CABLES1"
"372","TSTD2"
"373","HCP5"
"374","SLC24A1"
"375","CLIP4"
"376","PHF11"
"377","KCTD14"
"378","C4orf32"
"379","ZNF540"
"380","VRK2"
"381","CD70"
"382","FAM122C"
"383","CD9"
"384","STX10"
"385","CXCL10"
"386","MYO1G"
"387","MAN2A2"
"388","PDE9A"
"389","DOPEY2"
"390","S100B"
"391","CD200"
"392","NT5C3A"
"393","TNFAIP8"
"394","LRPAP1"
"395","TCFL5"
"396","BBS5"
"397","SMCO2"
"398","GOLM1"
"399","GADD45A"
"400","HLA-H"
"401","C3orf52"
"402","DYRK2"
"403","STAT3"
"404","TIFA"
"405","NUBPL"
"406","PPP3CA"
"407","MTHFD2L"
"408","RAB9B"
"409","TMEM139"
"410","SGK1"
"411","SOCS7"
"412","ANTXR2"
"413","BRCA1"
"414","KCNK5"
"415","TLR5"
"416","ATXN1"
"417","ZNF285"
"418","ITPK1"
"419","USP6NL"
"420","INSIG2"
"421","APLP2"
"422","HOMER3"
"423","ZP3"
"424","ADAMTS4"
"425","OPHN1"
"426","SRD5A3-AS1"
"427","TTC39C"
"428","CCL16"
"429","TM7SF3"
